question_text,choice1,choice2,choice3,choice4,correct_answer,quiz_id
"Which of the following is a Python framework?","Laravel","Django","Rails","Spring",2,2
"Which symbol is used to indicate an ID in CSS?","#",".","*","$",1,2
"Which HTML tag is used to define an unordered list?","<ol>","<ul>","<li>","<list>",2,2
"What is the correct file extension for Python files?",".java",".py",".cpp",".php",2,2
"In which language is React written?","Python","C++","JavaScript","Java",3,2
"Which method is used to find the length of a string in JavaScript?","len()","length()","strLength()","size()",2,2
"What does CSS stand for?","Cascading Style Sheets","Computer Style Sheets","Creative Style Sheets","Colorful Style Sheets",1,2
"Which SQL statement is used to extract data from a database?","GET","EXTRACT","SELECT","OPEN",3,2
"Which Python keyword is used to create a function?","function","def","func","lambda",2,2
"What does JSON stand for?","JavaScript Object Notation","JavaScript Online Notation","Java Source Object Notation","JavaScript Object Native",1,2
"Which symbol is used for comments in Python?","#","//","/*","--",1,2
"Which method can be used to round a number to the nearest integer in Python?","round()","Math.round()","ceil()","floor()",1,2
"What is the value of the expression 2 + 2 * 2 in Python?","4","6","8","10",2,2
"Which of the following is a version control system?","Git","Docker","Jenkins","Kubernetes",1,2
"Which language is used to style web pages?","HTML","JQuery","CSS","XML",3,2
"What does SQL stand for?","Structured Query Language","Strong Question Language","Structured Query Link","Simple Query Language",1,2
"Which HTML element is used to specify a footer for a document or section?","<bottom>","<footer>","<foot>","<section>",2,2
"რა წელი იყო ფრანგული რევოლუციის დასაწყისი?","1789","1776","1804","1815",1,4
"ვინ იყო მაკედონიის ალექსანდრე?","რომის იმპერატორი","ეგვიპტეს ფარაონი","ბერძნული მეფე","ბაბილონის მეფე",3,4
"რომელ წელს დაიწყო მეორე მსოფლიო ომი?","1939","1914","1941","1945",1,4
"რომელია პირველი იმპერია ისტორიაში?","რომი","შუმერი","ბაბილონი","აკადი",4,4
"რომელ წელს გაიმარჯვა ამერიკამ დამოუკიდებლობისთვის ომში?","1783","1776","1791","1800",1,4
"ვინ დაწერა 'განცხადება დამოუკიდებლობის შესახებ'?","ჯონ ლოკი","ტომას ჯეფერსონი","ჯორჯ ვაშინგტონი","ჯეიმს მედისონი",2,4
"რომელი იყო რომის რესპუბლიკის ბოლო დიქტატორი?","გაიუს იულიუს კეისარი","მარკუს ანტონიუსი","ნერონი","ოკტავიანე ავგუსტუსი",1,4
"რომელ წელს დაიშალა საბჭოთა კავშირი?","1989","1990","1991","1992",3,4
"რომელი იყო ეგვიპტის პირველი ფარაონი?","ტუტანხამონი","კლეოპატრა","რამზეს II","ნარმერი",4,4
"ვინ დაიწყო რეფორმაცია?","ჯონ კელვინი","მარტინ ლუთერი","ჰენრი VIII","ჯონ უიკლიფი",2,4
"რომელი იმპერატორი აღადგინა რომის იმპერია დასავლეთში?","ნერონი","კონსტანტინე","ჯუსტინიანე I","კარლოს დიდი",4,4
"რომელ წელს მოხდა ამერიკული სამოქალაქო ომის დასაწყისი?","1860","1861","1865","1870",2,4
"ვინ იყო პირველი პრეზიდენტი ამერიკის შეერთებული შტატების?","აბრაამ ლინკოლნი","ჯორჯ ვაშინგტონი","ტომას ჯეფერსონი","ჯონ ადამსი",2,4
"რომელ წელს მოხდა დიდებული საფრანგეთის რევოლუცია?","1688","1701","1789","1799",3,4
"ვინ იყო ყველაზე ცნობილი ეგვიპტური მეფე?","ტუტანხამონი","რამზეს II","კლეოპატრა","სეზოსტრისი",2,4
"რომელ წელს აღმოაჩინა კოლუმბმა ამერიკა?","1492","1500","1512","1489",1,4
"ვინ იყო პირველი ქალი, რომელიც იყო დიდი ბრიტანეთის პრემიერ-მინისტრი?","ელისაბედ II","მარგარეტ ტეტჩერი","თერეზა მეი","ვიქტორია",2,4
"რომელი ცივილიზაცია იყო პასუხისმგებელი პელოპონესის ომზე?","რომაელები","ბერძნები","მესოპოტამიელები","ეგვიპტელები",2,4
"ვინ არის ცნობილია როგორც 'რკინის კანცლერი'?","ნაპოლეონ ბონაპარტი","ვინსტონ ჩერჩილი","ოტო ფონ ბისმარკი","ჯოზეფ სტალინი",3,4
"რომელი ბრძოლა გამოარჩევს ვილჰელმ დამპყრობლის ინგლისის დაპყრობას?","ვატერლოო","ჰასტინგსი","საფრანგეთის ბრძოლა","აგინკორტი",2,4
"რა არის სინათლის სიჩქარე ვაკუუმში?","300,000 კმ/წმ","150,000 კმ/წმ","200,000 კმ/წმ","250,000 კმ/წმ",1,5
"რომელი ძალა მოქმედებს ნივთების ხტომაზე ზედაპირზე?","საწვავის ძალა","ძალამფრქვევი ძალა","გაჯეტური ძალა","ნაზადი ძალა",2,5
"რა არის ნივთის მასის საზომი ერთეული SI სისტემაში?","გრამი","კილოგრამი","ტონა","მილიგრამი",2,5
"რა არის ელექტრომაგნიტური ტალღების სიჩქარე ვაკუუმში?","სიმსუქნეს","ტალღური სიჩქარე","სინათლის სიჩქარე","ხმოვან სიჩქარე",3,5
"რა გახლავთ ტემპერატურის საზომი ერთეული SI სისტემაში?","გრადუსი სელიუსი","კელვინი","ფარენჰაიტი","რეამური",2,5
"რომელი განზომილებაა ენერგიის საზომი ერთეული?","ჯოჯოხეთი","ჯული","ვატი","ნიუტონი",2,5
"რა არის შტატური ძალა?","კითვის ძალა","ჰიდროსტატიური ძალა","გრამის ძალა","ნასტიური ძალა",2,5
"რა არის ორმაგი ენერგია?" ,"კინეტიკური ენერგია","პოტენციური ენერგია","ბოჰმური ენერგია","მექანიკური ენერგია",4,5
"რა არის ყველაზე დიდი ენერგიის წყარო მზის სისტემაში?","ვარსკვლავი","მთვარე","პლანეტები","მზე",4,5
"რომელია გრავიტაციული მუდმივობა?","6.674 × 10^-11 N·m²/kg²","9.81 მ/წმ²","3.14","8.85 × 10^-12 F/m",1,5
"რა არის ენერგიის კონსერვაციის კანონი?" ,"ენერგია არ იკარგება, არამედ იცვლება","ენერგია მატულობს","ენერგია ვერ იცვლება","ენერგია იზრდება და ეცემა",1,5
"რომელ სექრეტირებს მაგნიტური სფერო გამოირჩევა?","ელექტროელექტრული ტალღები","ფიზიკური სხეულები","ელექტრომაგნიტური ტალღები","მექანიკური ტალღები",3,5
"რა არის ტვირთის ცვლადი ტარება?","რეგულარული ძალა","პოტენციური ძალა","კინეტიკური ძალა","ძალა",1,5
"რომელი ფორმულა გამოხატავს მოძრაობის მეორე კანონს?","F = m × a","E = mc²","v = u + at","p = mv",1,5
"რა არის ელექტრული დენის საზომი ერთეული SI სისტემაში?","ამპერი","ვოლტი","ოჰმი","ჯული",1,5
"რომელ ჰიპოთეზას არის ფიზიკის ერთ-ერთი საფუძველი?","გრადიტაციის კანონი","პარალელური კონსერვაციის კანონი","ცივი წესების კანონი","ენერგიის კონსერვაციის კანონი",4,5
"რა არის ატომის კომპონენტი?","პლაზმა","ელექტრონი","ნეიტრონი","პროეტონი",2,5
"რა არის კინეტიკური ენერგია?" ,"ძალა","მოძრაობის ენერგია","ტემპერატურის ენერგია","პოტენციური ენერგია",2,5
"რომელ ნივთში არსებული ელემენტების ელექტრონულების ზომები განსხვავდება?","ალუმინიუმი","ბარიუმი","გრანდია","ჰიდროგენი",2,5
"რა არის წყლის ქიმიური ფორმულა?","H2O","CO2","NaCl","HCl",1,6
"რომელ ელემენტს აქვს ატომური ნომერი 1?","ჰელიუმი","ჟანგბადი","წყალბადი","ნატრიუმი",3,6
"რომელი აირი არის აუცილებელი სუნთქვისთვის?","აზოტი","ჟანგბადი","ნახშირორჟანგი","მეთანი",2,6
"რა არის ოქროს ქიმიური სიმბოლო?","Ag","Au","Pb","Fe",2,6
"რომელი არის ყველაზე მძიმე ალკალური მეტალი?","ლითიუმი","ნატრიუმი","პოტასიუმი","რუბიდიუმი",4,6
"რა სახელი აქვს NaCl-ს ყოველდღიურ ცხოვრებაში?","შაქარი","სოდა","მარილი","წყალი",3,6
"რომელი მჟავა შედის კუჭის წვენში?","მჟაუნმჟავა","გლუკოზა","თეტროქსიდი","ჰიდროქლორიდი",4,6
"რა არის ნახშირორჟანგის ქიმიური ფორმულა?","CH4","CO","CO2","O2",3,6
"რომელ ნაერთს მოიხსენიებენ როგორც საცხობ სოდას?","NaOH","NaHCO3","KCl","MgSO4",2,6
"რომელ ქიმიურ ელემენტს ჰქვია პლუმბუმი ლათინურად?","პლატინა","ტყვია","ვერცხლი","რკინა",2,6
"რომელი ნივთიერებაა ძვლების მთავარი კომპონენტი?","კალციუმი","კალიუმი","ფოსფორი","რკინა",1,6
"რომელი მჟავა გამოიყენება ავტომობილის ბატარეებში?","ფოსფორის მჟავა","ჰიდროქლორიდის მჟავა","სერას მჟავა","აზოტმჟავა",3,6
"რომელი ელემენტია ყველაზე გავრცელებული დედამიწაზე?","ქვიშა","ჟანგბადი","გრაფიტი","გოლდიუმი",2,6
"რამდენი პროტონი აქვს ნახშირბადის ატომს?","4","6","8","12",2,6
"რომელი ელემენტია იძლევა ენერგიას მზის შიდა რეაქციებში?","ნეონი","ჰელიუმი","წყალბადი","ჟანგბადი",3,6
"რომელ ნაერთს უწოდებენ 'კალიუმის ნიტრატს'?","KCl","K2SO4","KNO3","KOH",3,6
"რომელი ნაერთი ქმნის მჟავე წვიმას?","SO2","NO2","NH3","O2",1,6
"რომელი ნივთიერება შეიძლება გამოყენებულ იქნას დაბინძურების საწინააღმდეგოდ?","NaOH","CaCO3","MgCl2","HCl",2,6
"რა არის წყალში არარასახვევი გაზი?","ჟანგბადი","ამიაკი","მეთანი","აზოტი",4,6
"რომელი ელემენტი წარმოადგენს ადამიანის სხეულის ყველაზე დიდ ნაწილს?","წყალბადი","ჟანგბადი","ნახშირბადი","კალციუმი",2,6
